obligation_id,country_iso3,country_name,regime_type,regime_framework,is_enacted,effective_date,applies_to_platform,has_revenue_threshold,tax_rate_pct,global_revenue_threshold_usd,local_revenue_threshold_usd,local_currency_code,local_currency_amount,covered_services,marketplace_applicability,treaty_risk_level,penalty_financial_severity,penalty_operational_severity,penalties_description,guidance_maturity,regulatory_attention_level,complexity_score_base,source_url,verbatim_quote,confidence_flag,last_verified_date,notes
DST_GBR,GBR,United Kingdom,dst,oecd_dst,True,2020-04-01,True,True,2.0,,,GBP,500000000,"Social media services, search engines, and online marketplaces provided to UK users, including associated online advertising services that facilitate online advertising and derive significant benefit from their association with the social media service, search engine or online marketplace",True,,,,,,,,https://www.gov.uk/government/publications/introduction-of-the-digital-services-tax/digital-services-tax,"The Digital Services Tax will apply to a group's businesses that provide a social media service, search engine or an online marketplace to UK users. These businesses will be liable to Digital Services Tax when the group's worldwide revenues from these digital activities are more than £500 million and more than £25 million of these revenues are derived from UK users. If the group's revenues exceed these thresholds, its revenues derived from UK users will be taxed at a rate of 2%.",high,2025-07-15,"There is an allowance of £25 million, meaning the first £25 million of UK-derived revenues is not subject to DST. The local_currency_amount of 500000000 reflects the worldwide revenue threshold in GBP; a separate UK user revenue threshold of £25 million GBP also applies. global_revenue_threshold_usd and local_revenue_threshold_usd are null as no USD conversion is stated in the source. An exemption from the online marketplace definition applies to financial services providers. Revenue is reduced to 50% when a marketplace transaction user is normally located in a country operating a similar tax. The government has committed to dis-applying the DST once an appropriate international solution is in place. No penalties, treaty risk, guidance maturity, regulatory attention, or complexity score data are present in the source."
DST_CAN,CAN,Canada,dst,oecd_dst,False,2024-06-28,True,True,3.0,825000000,14750000,CAD,20000000,"Online marketplace services, online advertising services, social media services, sale or licensing of user data",True,critical,high,medium,"Penalties of CAD $20,000 per year for failure to register. Late filing penalties apply. DST repealed June 29, 2025 following US trade pressure under USMCA.",nascent,critical,3,https://www.canada.ca/en/services/taxes/excise-taxes-duties-and-levies/digital-services-tax.html,The Government of Canada has introduced the digital services tax (DST). The DST requires foreign and domestic large businesses to pay tax on certain revenue earned from engaging with online users in Canada if they meet certain conditions.,high,2026-03-15,DST enacted June 28 2024 via Bill C-59 at 3% rate retroactive to January 1 2022. Repealed June 29 2025 following US-Canada trade dispute under USMCA. is_enacted set to false. complexity_score_base set low (3) to reflect repealed status. regulatory_attention_level critical due to ongoing US trade retaliation risk landscape.
DST_AUT,AUT,Austria,dst,oecd_dst,True,2020-01-01,True,True,5.0,801000000,27000000,EUR,25000000,Online advertising,,,,,,,,,https://taxfoundation.org/data/all/eu/digital-services-taxes-europe/,"Austria (AT) 5% Online advertising EUR 750 million (USD 801 million) EUR 25 million (USD 27 million) Implemented (Effective from January 1, 2020); joined statement on October 21, 2021, that repeal of the DST would be contingent on Pillar One implementation.",high,2025-02-12,"Joined October 21, 2021 joint statement that repeal of the DST would be contingent on Pillar One implementation."
DST_BEL,BEL,Belgium,dst,oecd_dst,False,,True,True,3.0,801000000,5300000,EUR,5000000,Selling of user data; Selling advertising space on a digital platform; Digital intermediation services facilitating the exchange of supplies of goods or services,True,,,,,,,,https://taxfoundation.org/data/all/eu/digital-services-taxes-europe/,"Belgium (BE) 3% ... EUR 750 million (USD 801 million) EUR 5 million (USD 5.3 million) Announced/Shows Intention (A DST was first introduced in January 2019 but was rejected in March 2019; an adjusted DST proposal was reintroduced in June 2020. On January 31, 2025, five Belgian political parties agreed on a coalition program outlining their position on a DST). Expected to introduce one if global or European consensus is not reached by 2027.",high,2025-02-12,Status is Announced/Shows Intention. Expected to introduce if global or European consensus not reached by 2027.
DST_CZE,CZE,Czech Republic,dst,oecd_dst,False,,True,True,5.0,801000000,4200000,CZK,100000000,Online advertising; Transmission of user data; Digital interface to facilitate the provision of supplies of goods and services among users,True,,,,,,,,https://taxfoundation.org/data/all/eu/digital-services-taxes-europe/,"Czech Republic (CZ) 5% ... EUR 750 million (USD 801 million) CZK 100 million (USD 4.2 million) Proposed/Stalled (There was a proposed amendment to reduce the tax rate from 7% to 5%. However, the discussion on the bill has stalled and there is support for a DST solution at the OECD level).",high,2025-02-12,Status is Proposed/Stalled. Discussion on the bill has stalled; there is support for a DST solution at the OECD level.
DST_DNK,DNK,Denmark,dst,oecd_dst,True,2024-01-01,True,True,2.0,,2200000,DKK,15000000,"On-demand, audio-visual media service providers",,,,,,,,,https://taxfoundation.org/data/all/eu/digital-services-taxes-europe/,"Denmark (DK) 2% (3% surcharge) On-demand, audio-visual media service providers DKK 15 million (USD 2.2 million) or audience constituting more than 1% of the total number of users of streaming services in Denmark Implemented (Effective from January 1, 2024. There is an additional 3% surcharge for companies that invest less than 5% of their Danish revenues in Danish content. As of May 20, 2024, Denmark has introduced a revised version of its Digital Services Tax (DST). The bill is expected to be fully implemented by early 2025, allowing companies to adapt to the new regulations).",high,2025-02-12,There is an additional 3% surcharge for companies that invest less than 5% of their Danish revenues in Danish content. Threshold is DKK 15 million or audience constituting more than 1% of total users of streaming services in Denmark. No global revenue threshold stated.
DST_FRA,FRA,France,dst,oecd_dst,True,2019-01-01,True,True,3.0,801000000,27000000,EUR,25000000,Provision of a digital interface; Advertising services based on users' data; Paid and free access to recorded music and online music videos (1.20% rate),True,,,,,,,,https://taxfoundation.org/data/all/eu/digital-services-taxes-europe/,"France (FR) 3% 1.20% · Provision of a digital interface · Advertising services based on users' data Paid and free access to recorded music and online music videos EUR 750 million (USD 801 million) EUR 25 million (USD 27 million) EUR 20 million (USD 21.4 million) Implemented (Retroactively applicable as of January 1, 2019. The 2020 DST collection was delayed to the end of 2020); joined statement on October 21, 2021, that repeal of the DST would be contingent on Pillar One implementation.",high,2025-02-12,"Two rates apply: 3% on provision of digital interface and advertising services; 1.20% on paid and free access to recorded music and online music videos (effective January 1, 2024, due on amounts exceeding EUR 20 million). Joined October 21, 2021 joint statement."
DST_HUN,HUN,Hungary,dst,oecd_dst,True,,,True,7.5,,271810,HUF,100000000,Advertising revenue,,,,,,,,,https://taxfoundation.org/data/all/eu/digital-services-taxes-europe/,"Hungary (HU) 7.50% Advertising revenue HUF 100 million (USD 271,810) Implemented (As a temporary measure, the advertisement tax rate has been reduced to 0%, effective from July 1, 2019, through December 31, 2024).",high,2025-02-12,"Rate was temporarily reduced to 0% from July 1, 2019 through December 31, 2024, then reverted to 7.5%. No global revenue threshold stated. No effective date for original implementation stated in source."
DST_ITA,ITA,Italy,dst,oecd_dst,True,2020-01-01,True,True,3.0,,,EUR,,Advertising on a digital interface; Multilateral digital interface that allows users to buy/sell goods and services; Transmission of user data generated from using a digital interface,True,,,,,,,,https://taxfoundation.org/data/all/eu/digital-services-taxes-europe/,"Italy (IT) 3% ... Implemented (Effective from January 1, 2020. In November 2022; on October 15, 2024, the Italian government approved the draft 2025 Budget Law, which eliminated from January 2025 the revenue thresholds, which required companies to have worldwide revenues of at least EUR 750 million and at least EUR 5.5 million from digital services in Italy to be liable for DST). Joined statement on October 21, 2021, that repeal of the DST would be contingent on Pillar One implementation. On March 20, 2024, the Italian Economy Minister announced that Italy might retain and modify its DST if Pillar One is not implemented.",high,2025-02-12,"From January 2025, revenue thresholds were eliminated (previously EUR 750 million global and EUR 5.5 million domestic). Joined October 21, 2021 joint statement. Italy may retain and modify DST if Pillar One is not implemented."
DST_LVA,LVA,Latvia,dst,oecd_dst,False,,,True,3.0,,,,,,,,,,,,,,https://taxfoundation.org/data/all/eu/digital-services-taxes-europe/,"Latvia (LV) 3% - - - Announced/Shows Intention (The Latvian government commissioned a study to determine the increase of tax revenue based on the assumption that the country levies a 3% DST. However, no further action has been taken for now).",high,2025-02-12,Status is Announced/Shows Intention. No further action has been taken. No thresholds or covered services specified in source.
