obligation_id,country_iso3,country_name,regime_type,regime_framework,is_enacted,effective_date,applies_to_platform,has_revenue_threshold,reporting_deadline,covered_activities,seller_transaction_threshold,seller_revenue_threshold,single_registration_eligible,penalty_financial_severity,penalty_operational_severity,penalties_description,guidance_maturity,regulatory_attention_level,complexity_score_base,source_url,verbatim_quote,confidence_flag,last_verified_date,notes
EU_DAC7_AUT,AUT,Austria,platform_reporting,eu_dac7,True,2023-01-01,True,False,No later than 31 January of the year following the calendar year in which activities have been performed by EU sellers through the Platform,"Rental of immovable property, personal services, sale of goods and rental of any mode of transport",,,True,,,"Liable for administrative and penal sanctions provided for by Member States' legal frameworks. In case of continued non-compliance after two reminders from the Member State of registration, the registration of the Platform Operator is permanently revoked. Member States may also organise in a coordinated manner the blocking of the Platform Operator, thereby prohibiting any activity from the Platform Operator within the EU.",developing,high,10,https://taxation-customs.ec.europa.eu/taxation/tax-transparency-cooperation/administrative-co-operation-and-mutual-assistance/dac7_en,"Council Directive (EU) 2021/514, known as 'DAC7', entered into force on the 1 January 2023. The first exchange of information for the calendar year 2023 took place at the end of February 2024.",high,2025-07-10,Penalty amounts vary by member state. Framework-level data only.
EU_DAC7_BEL,BEL,Belgium,platform_reporting,eu_dac7,True,2023-01-01,True,False,No later than 31 January of the year following the calendar year in which activities have been performed by EU sellers through the Platform,"Rental of immovable property, personal services, sale of goods and rental of any mode of transport",,,True,,,"Liable for administrative and penal sanctions provided for by Member States' legal frameworks. In case of continued non-compliance after two reminders from the Member State of registration, the registration of the Platform Operator is permanently revoked. Member States may also organise in a coordinated manner the blocking of the Platform Operator, thereby prohibiting any activity from the Platform Operator within the EU.",developing,high,10,https://taxation-customs.ec.europa.eu/taxation/tax-transparency-cooperation/administrative-co-operation-and-mutual-assistance/dac7_en,"Council Directive (EU) 2021/514, known as 'DAC7', entered into force on the 1 January 2023. The first exchange of information for the calendar year 2023 took place at the end of February 2024.",high,2025-07-10,Penalty amounts vary by member state. Framework-level data only.
EU_DAC7_BGR,BGR,Bulgaria,platform_reporting,eu_dac7,True,2023-01-01,True,False,No later than 31 January of the year following the calendar year in which activities have been performed by EU sellers through the Platform,"Rental of immovable property, personal services, sale of goods and rental of any mode of transport",,,True,,,"Liable for administrative and penal sanctions provided for by Member States' legal frameworks. In case of continued non-compliance after two reminders from the Member State of registration, the registration of the Platform Operator is permanently revoked. Member States may also organise in a coordinated manner the blocking of the Platform Operator, thereby prohibiting any activity from the Platform Operator within the EU.",developing,high,10,https://taxation-customs.ec.europa.eu/taxation/tax-transparency-cooperation/administrative-co-operation-and-mutual-assistance/dac7_en,"Council Directive (EU) 2021/514, known as 'DAC7', entered into force on the 1 January 2023. The first exchange of information for the calendar year 2023 took place at the end of February 2024.",high,2025-07-10,Penalty amounts vary by member state. Framework-level data only.
EU_DAC7_HRV,HRV,Croatia,platform_reporting,eu_dac7,True,2023-01-01,True,False,No later than 31 January of the year following the calendar year in which activities have been performed by EU sellers through the Platform,"Rental of immovable property, personal services, sale of goods and rental of any mode of transport",,,True,,,"Liable for administrative and penal sanctions provided for by Member States' legal frameworks. In case of continued non-compliance after two reminders from the Member State of registration, the registration of the Platform Operator is permanently revoked. Member States may also organise in a coordinated manner the blocking of the Platform Operator, thereby prohibiting any activity from the Platform Operator within the EU.",developing,high,10,https://taxation-customs.ec.europa.eu/taxation/tax-transparency-cooperation/administrative-co-operation-and-mutual-assistance/dac7_en,"Council Directive (EU) 2021/514, known as 'DAC7', entered into force on the 1 January 2023. The first exchange of information for the calendar year 2023 took place at the end of February 2024.",high,2025-07-10,Penalty amounts vary by member state. Framework-level data only.
EU_DAC7_CYP,CYP,Cyprus,platform_reporting,eu_dac7,True,2023-01-01,True,False,No later than 31 January of the year following the calendar year in which activities have been performed by EU sellers through the Platform,"Rental of immovable property, personal services, sale of goods and rental of any mode of transport",,,True,,,"Liable for administrative and penal sanctions provided for by Member States' legal frameworks. In case of continued non-compliance after two reminders from the Member State of registration, the registration of the Platform Operator is permanently revoked. Member States may also organise in a coordinated manner the blocking of the Platform Operator, thereby prohibiting any activity from the Platform Operator within the EU.",developing,high,10,https://taxation-customs.ec.europa.eu/taxation/tax-transparency-cooperation/administrative-co-operation-and-mutual-assistance/dac7_en,"Council Directive (EU) 2021/514, known as 'DAC7', entered into force on the 1 January 2023. The first exchange of information for the calendar year 2023 took place at the end of February 2024.",high,2025-07-10,Penalty amounts vary by member state. Framework-level data only.
EU_DAC7_CZE,CZE,Czech Republic,platform_reporting,eu_dac7,True,2023-01-01,True,False,No later than 31 January of the year following the calendar year in which activities have been performed by EU sellers through the Platform,"Rental of immovable property, personal services, sale of goods and rental of any mode of transport",,,True,,,"Liable for administrative and penal sanctions provided for by Member States' legal frameworks. In case of continued non-compliance after two reminders from the Member State of registration, the registration of the Platform Operator is permanently revoked. Member States may also organise in a coordinated manner the blocking of the Platform Operator, thereby prohibiting any activity from the Platform Operator within the EU.",developing,high,10,https://taxation-customs.ec.europa.eu/taxation/tax-transparency-cooperation/administrative-co-operation-and-mutual-assistance/dac7_en,"Council Directive (EU) 2021/514, known as 'DAC7', entered into force on the 1 January 2023. The first exchange of information for the calendar year 2023 took place at the end of February 2024.",high,2025-07-10,Penalty amounts vary by member state. Framework-level data only.
EU_DAC7_DNK,DNK,Denmark,platform_reporting,eu_dac7,True,2023-01-01,True,False,No later than 31 January of the year following the calendar year in which activities have been performed by EU sellers through the Platform,"Rental of immovable property, personal services, sale of goods and rental of any mode of transport",,,True,,,"Liable for administrative and penal sanctions provided for by Member States' legal frameworks. In case of continued non-compliance after two reminders from the Member State of registration, the registration of the Platform Operator is permanently revoked. Member States may also organise in a coordinated manner the blocking of the Platform Operator, thereby prohibiting any activity from the Platform Operator within the EU.",developing,high,10,https://taxation-customs.ec.europa.eu/taxation/tax-transparency-cooperation/administrative-co-operation-and-mutual-assistance/dac7_en,"Council Directive (EU) 2021/514, known as 'DAC7', entered into force on the 1 January 2023. The first exchange of information for the calendar year 2023 took place at the end of February 2024.",high,2025-07-10,Penalty amounts vary by member state. Framework-level data only.
EU_DAC7_EST,EST,Estonia,platform_reporting,eu_dac7,True,2023-01-01,True,False,No later than 31 January of the year following the calendar year in which activities have been performed by EU sellers through the Platform,"Rental of immovable property, personal services, sale of goods and rental of any mode of transport",,,True,,,"Liable for administrative and penal sanctions provided for by Member States' legal frameworks. In case of continued non-compliance after two reminders from the Member State of registration, the registration of the Platform Operator is permanently revoked. Member States may also organise in a coordinated manner the blocking of the Platform Operator, thereby prohibiting any activity from the Platform Operator within the EU.",developing,high,10,https://taxation-customs.ec.europa.eu/taxation/tax-transparency-cooperation/administrative-co-operation-and-mutual-assistance/dac7_en,"Council Directive (EU) 2021/514, known as 'DAC7', entered into force on the 1 January 2023. The first exchange of information for the calendar year 2023 took place at the end of February 2024.",high,2025-07-10,Penalty amounts vary by member state. Framework-level data only.
EU_DAC7_FIN,FIN,Finland,platform_reporting,eu_dac7,True,2023-01-01,True,False,No later than 31 January of the year following the calendar year in which activities have been performed by EU sellers through the Platform,"Rental of immovable property, personal services, sale of goods and rental of any mode of transport",,,True,,,"Liable for administrative and penal sanctions provided for by Member States' legal frameworks. In case of continued non-compliance after two reminders from the Member State of registration, the registration of the Platform Operator is permanently revoked. Member States may also organise in a coordinated manner the blocking of the Platform Operator, thereby prohibiting any activity from the Platform Operator within the EU.",developing,high,10,https://taxation-customs.ec.europa.eu/taxation/tax-transparency-cooperation/administrative-co-operation-and-mutual-assistance/dac7_en,"Council Directive (EU) 2021/514, known as 'DAC7', entered into force on the 1 January 2023. The first exchange of information for the calendar year 2023 took place at the end of February 2024.",high,2025-07-10,Penalty amounts vary by member state. Framework-level data only.
EU_DAC7_FRA,FRA,France,platform_reporting,eu_dac7,True,2023-01-01,True,False,No later than 31 January of the year following the calendar year in which activities have been performed by EU sellers through the Platform,"Rental of immovable property, personal services, sale of goods and rental of any mode of transport",,,True,,,"Liable for administrative and penal sanctions provided for by Member States' legal frameworks. In case of continued non-compliance after two reminders from the Member State of registration, the registration of the Platform Operator is permanently revoked. Member States may also organise in a coordinated manner the blocking of the Platform Operator, thereby prohibiting any activity from the Platform Operator within the EU.",developing,high,10,https://taxation-customs.ec.europa.eu/taxation/tax-transparency-cooperation/administrative-co-operation-and-mutual-assistance/dac7_en,"Council Directive (EU) 2021/514, known as 'DAC7', entered into force on the 1 January 2023. The first exchange of information for the calendar year 2023 took place at the end of February 2024.",high,2025-07-10,Penalty amounts vary by member state. Framework-level data only.
