obligation_id,country_iso3,country_name,regime_type,regime_framework,is_enacted,effective_date,applies_to_platform,has_revenue_threshold,standard_rate_pct,registration_threshold_usd,local_currency_code,local_currency_amount,deemed_supplier_rules,edp_classification,b2c_scope,import_vat_rules,penalty_financial_severity,penalty_operational_severity,penalties_description,guidance_maturity,regulatory_attention_level,complexity_score_base,source_url,verbatim_quote,confidence_flag,last_verified_date,notes
VAT_GST_ARG,ARG,Argentina,vat_gst,vat_gst_marketplace,True,2018-06-27,True,True,21,,ARS,750000,False,True,True,True,high,high,"Late payment penalty ranges from 1 to 3 times the amount due; late filing penalty is ARS 200 per return for individuals and ARS 400 per return for companies. Non-payment of VAT owed attracts a penalty of 100% of the amount owed. Fraudulent activities may face fines ranging from two to six times the amount of tax owed, and imprisonment in extreme cases. Late registration may result in inability to operate any commercial activity plus financial penalties.",mature,high,8,https://vatabout.com/argentina-vat-2025-digital-platform-rules,"With new rules in place, effective since December 1, 2025, a seller is now regarded as habitual if they either complete at least ten sales in a single month with total sales of ARS 750,000 (around USD 520)",high,2026-03-16,"Argentina does not have formal 'deemed supplier' rules transferring full VAT liability to the marketplace as a principal; instead, under General Resolution 5319/2023 (amended by GR 5794/2025 effective December 1, 2025), digital platforms act as VAT withholding agents for sales by registered, Monotributo, and qualifying unregistered sellers — not as deemed resellers. The registration_threshold_usd is null because there is no registration threshold for non-resident businesses (all sales are potentially taxable from the first transaction). The local_currency_amount of ARS 750,000 reflects the 2025 habitual-seller activity threshold for platform withholding obligations under GR 5794/2025, not a registration threshold. As of September 1, 2024, the VAT withholding regime no longer applies to payments made through electronic systems (GR 5553/2024); primary collection responsibility shifted to the recipient/customer via self-assessment unless AFIP/ARCA specifically instructs a payment service provider to withhold. Fonoa explicitly states 'Argentina does not have specific VAT rules for marketplaces or platform operators' in the classical deemed-supplier sense. Import VAT applies at 21% on CIF value plus import duty for physical goods. The original effective date of June 27, 2018 refers to implementation of Law 27,430 digital services VAT rules. A proposed 'Super IVA' reform has been mentioned for 2026 but is not yet enacted. Currency: Argentine Peso (ARS). Multiple overlapping resolutions (4240/2018, 5319/2023, 5553/2024, 5794/2025) make this regime complex and rapidly evolving."
VAT_GST_AUS,AUS,Australia,vat_gst,vat_gst_marketplace,True,2017-07-01,True,True,10,49830,AUD,75000,True,True,True,True,high,high,"ATO may calculate unpaid GST using third-party data (bank and customs data), apply penalties for failure to register, and for Significant Global Entities (global turnover > AUD $1 billion) may impose significant administrative penalties. ATO can register penalties as a debt in courts or through relevant taxation authorities in the overseas entity's country. Failure-to-lodge penalties apply for late filing/payment. Pre-registration liability can be backdated up to four years.",mature,high,7,https://stripe.com/guides/understanding-the-tax-obligations-of-marketplaces-in-australia,"Australia requires that an EDP registers if its taxable sales to Australian customers exceeded $75,000 AUD in the past 12 months, or if the EDP expects sales to exceed that amount in the next 12 months.",high,2026-03-16,"Two separate effective dates apply: (1) 1 July 2017 for GST on imported digital services and products (GSTR 2017/1; EDP deemed supplier rules for digital goods commenced from this date per ATO LCR 2018/2); (2) 1 July 2018 for GST on low-value imported goods (customs value AUD 1,000 or less) per Treasury Laws Amendment (GST Low Value Goods) Act 2017 and LCR 2018/1. The effective_date field reflects the earlier EDP/digital-services commencement. The Sharing Economy Reporting Regime (SERR) introduced additional reporting obligations: ride-sharing and short-term accommodation from 1 July 2023; asset sharing, food delivery, and other services from 1 July 2024. EDP is defined to include (but is not limited to) a website, internet portal, gateway, store or marketplace. The AUD 75,000 USD equivalent (~49,830 USD) is based on the XE mid-market rate of 0.6644 AUD/USD as of 2026-03-16 and is inherently variable; the statutory threshold is denominated exclusively in AUD. B2B sales are generally out of scope (reverse charge applies to GST-registered Australian businesses). No de-registration threshold is stated in sources; registration threshold applies to both resident and non-resident EDPs."
VAT_GST_AUT,AUT,Austria,vat_gst,vat_gst_marketplace,True,2021-07-01,True,True,20,,EUR,55000,True,True,True,True,medium,medium,Late VAT return submission: penalty up to 10% of VAT due. Late payment: 2% of total payable VAT. Second penalty of 1% if unpaid three months after due date. Third penalty of 1% if still unpaid three months after the second penalty.,mature,high,7,https://www.fonoa.com/resources/country-tax-guides/austria,Austria applies the harmonized European Union's (EU) VAT rules for marketplace & platform operators.,high,2026-03-16,"Austria implements the EU harmonized marketplace deemed supplier rules effective 1 July 2021 (EU VAT e-commerce package). The deemed supplier provision treats the marketplace as having received and supplied goods itself, splitting the transaction into a deemed B2B supply (underlying supplier to marketplace) and a deemed B2C supply (marketplace to final customer). This applies to: (1) supplies of goods from non-EU established sellers to EU customers regardless of value, and (2) import goods valued up to EUR 150 via IOSS. For electronically supplied services (ESS) sold via an intermediary/marketplace, the intermediary is also deemed to have received and supplied the services, shifting VAT liability to the intermediary. Austria also maintains a national platform liability regime (pre-existing, noted as the 'Austrian model') in addition to the EU harmonized rules. Platforms were required to report certain data on supplies to Austrian private individuals from January 2020; as of 1 July 2021, those recording obligations were replaced by the general EU VAT regulations. Registration threshold for domestic established sellers: EUR 55,000 (raised from EUR 35,000 effective 1 January 2025). No threshold for non-established/non-EU sellers. EU-wide distance selling threshold of EUR 10,000 applies for OSS eligibility. The EUR 55,000 USD equivalent is not explicitly stated in sources; USD conversion not provided. Standard VAT rate 20%; reduced rates of 10% and 13% exist."
VAT_GST_BEL,BEL,Belgium,vat_gst,vat_gst_marketplace,True,2021-07-01,True,True,21,,EUR,10000,True,True,True,True,high,medium,"Failure to submit VAT return: EUR 1,000 per return; late submission: EUR 100 per month (max EUR 1,000); late payment: fine equal to twice the tax paid late plus 0.8% interest per month; fraud: fine equal to twice the VAT amount evaded.",mature,high,7,https://www.fonoa.com/countries/belgium,Belgium applies the harmonized European Union's (EU) VAT rules for marketplace & platform operators.,high,2026-03-16,"Belgium follows EU-harmonised marketplace/deemed supplier rules transposed via the EU e-Commerce VAT package effective 1 July 2021. The deemed supplier provision applies when a digital platform intermediates between an underlying supplier and the final customer (Article 14a EU VAT Directive). The EUR 10,000 threshold applies to intra-EU distance sales of goods and B2C TBE/ESS services; there is no registration threshold for non-resident non-EU ESS suppliers. Resident small businesses below EUR 25,000 annual turnover may benefit from a VAT exemption scheme. Import VAT deferment is available via the ET 14000 licence. Non-EU businesses must appoint a fiscal representative. USD equivalent of registration threshold not stated in sources; local amount EUR 10,000 used. ViDA reforms (mandatory deemed supplier expansion for accommodation/transport platforms) are expected to apply from 2028/2030 but are not yet in force."
VAT_GST_BRA,BRA,Brazil,vat_gst,vat_gst_marketplace,True,2026-01-01,True,False,26.5,,BRL,,True,True,True,True,medium,high,"A 3-month penalty-free testing period applies once CBS and IBS regulations are published in 2026; after this window closes, incomplete or incorrect invoice reporting may trigger fines, loss of credits, and operational disruption. Between 1 January and 30 April 2026 there is a waiver of most penalties for failure to e-invoice CBS and IBS taxes correctly. If neither supplier nor platform registers, taxes may be withheld by financial institutions handling remittances.",developing,critical,9,https://www.vatcalc.com/brazil/brazil-vat-non-resident-digital-services-providers-marketplaces-2026/,The new proposals also make facilitating marketplaces or similar digital platforms liable for CBS and IBS collections.,high,2026-03-16,"Brazil enacted Complementary Law 214/2025 on 17 January 2025, establishing a dual VAT regime (CBS at federal level + IBS at state/municipal level) replacing five existing taxes (PIS, COFINS, IPI, ICMS, ISS). The combined reference rate is approximately 26.5% (CBS 8.8% + IBS 17.7%), though final supplementary legislation setting exact rates is still pending as of the publication dates reviewed. The marketplace/platform rules under Supplementary Law 214/2025 make digital platforms liable for CBS and IBS where they control T&Cs, payments, or delivery; platforms facilitating only listings or payments are excluded. A secondary law, Complementary Law 227/2026 (published 13 January 2026), further clarifies digital platform compliance obligations. 2026 is a pilot/test year with symbolic rates (CBS 0.9%, IBS 0.1%) shown on invoices but not collected; full CBS collection begins 1 January 2027; full IBS phase-in runs 2029–2032, with complete migration by 2033. Registration threshold for foreign non-resident platforms is nil — any taxable activity triggers registration. No specific USD or BRL registration threshold was found in the sources. The b2c_scope is explicitly confirmed; b2b scope is also indicated but some ambiguity remains in guidance. Import VAT rules confirmed: imported goods and services including digital ones subject to CBS/IBS. Penalty regime: 3-month penalty-free testing window after regulations published in 2026, then financial penalties and loss of credits apply; financial severity rated medium (penalty-free window and offsets available initially), operational severity rated high (e-invoicing mandatory, invoice is primary compliance vehicle). Guidance maturity rated 'developing': framework is legislated but key operational regulations are still pending. Regulatory attention rated 'critical' given scale of reform and mandatory platform registration. Complexity score 9/10 reflecting one of the world's most complex and layered tax transitions."
VAT_GST_CAN,CAN,Canada,vat_gst,vat_gst_marketplace,True,2021-07-01,True,True,5,,CAD,30000,True,True,True,True,medium,medium,"Late filing of GST/HST return: penalty equal to 1% of outstanding balance plus 0.25% per month up to 12 months, plus daily compounded interest. For reporting platform operators failing to file Part XX information returns: penalties range from CAD $100 to CAD $7,500. Sellers failing to provide TIN to platform operators: CAD $500 per failure. For false statements or omitting information: greater of CAD $250 or 25% of tax owed or overclaimed. Criminal offences may apply for intentional evasion. CRA uses a prospective compliance approach except for egregious non-compliance.",mature,high,8,https://www.canada.ca/en/revenue-agency/services/tax/businesses/topics/gst-hst-businesses/digital-economy.html,"The ETA has been amended, effective July 1, 2021, to include GST/HST provisions that generally apply to non-resident suppliers, distribution platform operators and accommodation platform operators participating in the digital economy.",high,2026-03-16,"Canada's federal GST rate is 5%; HST (combined federal + provincial) applies in five provinces at 13% or 15% (Ontario 13%, others 15%). The standard_rate_pct of 5 reflects the federal GST baseline only. Registration threshold of CAD $30,000 applies over a 12-month period for both resident platforms (normal regime) and non-resident platforms (simplified regime). Deemed supplier rules apply: distribution platform operators are deemed the supplier for goods sold by non-registered vendors through their platforms (fulfillment warehouse rule) and accommodation platform operators are deemed supplier when the underlying host is not GST/HST registered. A separate OECD-aligned digital platform operator reporting regime (Part XX of the Income Tax Act) took effect January 1, 2024, requiring annual seller data reporting to CRA. Import GST (5%) applies at the border on most goods; the low-value postal exemption threshold is CAD $20 for mail imports. No marketplace-specific import VAT collection regime at the border (unlike some jurisdictions); import GST is collected by CBSA from the importer of record. Provincial-level marketplace facilitator rules also exist in BC, Quebec, Manitoba, and Saskatchewan with varying thresholds and scope. USD equivalent of CAD $30,000 threshold left as null because no official USD conversion is published in the source rules. registration_threshold_usd is null as the threshold is denominated exclusively in CAD."
VAT_GST_CHL,CHL,Chile,vat_gst,vat_gst_marketplace,True,2025-10-25,True,False,19,,CLP,,True,True,True,True,medium,medium,"If a digital platform fails to enrol in the Simplified Tax Regime, the Chilean Internal Revenue Service is empowered to require payment card issuers and electronic payment operators to collect, declare, and pay the applicable VAT. Taxpayers who do not prove compliance with tax obligations to platform operators are subject to advance VAT withholding by the intermediary, not exceeding the current VAT rate.",developing,high,7,https://www.ibanet.org/Chile-VAT-new-regulations-B2C-sales-transactions-on-digital-marketplaces,"Law No 21,713 on Compliance with Tax Obligations, enacted on 25 October 2024, incorporates relevant changes on the tax treatment applicable to the international business to consumer (B2C) digital trade of goods.",high,2026-03-16,"Deemed supplier rules for marketplaces effective 25 October 2025 per Law No 21,713 (enacted 25 October 2024). No VAT registration threshold. Platforms are deemed suppliers for transactions where neither seller nor buyer is locally VAT-registered. Import VAT now applies to low-value goods (consignments at or below USD 500), removing prior exemption for imports below USD 41. A further bill proposing expanded deemed supplier rules and updated place-of-supply rules is proposed from January 2027. B2B transactions are excluded; reverse charge applies. Periodic compliance verification by platforms required from January 2026. Standard VAT rate is 19%."
VAT_GST_CHN,CHN,China,vat_gst,vat_gst_marketplace,True,2026-01-01,True,True,13,,CNY,5000000,True,True,True,True,medium,medium,Violations subject to enforcement under China's Tax Collection and Administration Law. The new VAT Law outlines penalties for non-compliance; specific penalty quantum deferred to the Tax Administration Law.,developing,high,8,https://www.globalvatcompliance.com/globalvatnews/china-digital-platform-vat/,"Under the DPI framework, a digital platform that facilitates transactions between sellers and customers may be required to act as the VAT intermediary for supplies made through the platform.",medium,2026-03-16,"China's consolidated VAT Law (passed 25 December 2024) and its Implementation Regulations both took effect 1 January 2026, replacing the Interim VAT Regulations. The Digital Platform Intermediary (DPI) framework places VAT reporting and, in some cases, payment obligations on platforms facilitating transactions; full deemed-supplier rules are still evolving and Detailed Implementation Regulations are awaited. The general-taxpayer registration threshold is CNY 5 million annual taxable sales; small-scale taxpayers below CNY 5 million use a simplified 3% levy rate (temporarily reduced to 1% through 31 December 2027). Standard rate of 13% applies to most goods; 9% and 6% apply to specified services. Import VAT collected by customs at point of entry. No explicit USD registration threshold is published; the CNY 5 million figure (~USD 690,000 at approximate exchange) is the statutory threshold. Overseas businesses face administrative barriers to VAT registration as no formal non-resident registration procedure has yet been established. Marketplace/platform obligations for foreign-established operators remain nascent and continue to evolve. USD equivalent of CNY 5 million threshold is an approximation and is not stated in source."
VAT_GST_COL,COL,Colombia,vat_gst,vat_gst_marketplace,True,2018-07-01,True,False,19,,COP,,False,True,True,False,high,medium,"Late filing penalty of 5% of total tax due per month or fraction, up to 100% maximum; increases to 10% per month (up to 200%) after tax authority summons. Separate penalty of 10% of bank deposits or gross income for unfiled returns. Return correction penalty of 10% of the greater value to be paid.",developing,medium,5,https://www.fonoa.com/resources/country-tax-guides/colombia,Colombia does not have specific VAT rules for marketplaces or platform operators.,high,2026-03-16,"Colombia imposed VAT on foreign digital service providers from 1 July 2018. No deemed supplier or marketplace facilitator rules exist as of the research date. VAT collection responsibility for B2C digital transactions falls on local banks, credit card issuers, and payment processors via a withholding mechanism — not on the marketplace platform itself. Foreign suppliers may optionally self-register with DIAN instead. No registration threshold: obligations triggered from the first B2C sale. B2B transactions handled via reverse charge. A legislative proposal to extend rules to resident digital platforms was noted but not enacted. Standard VAT rate is 19%. No import VAT-specific marketplace rules identified."
VAT_GST_FRA,FRA,France,vat_gst,vat_gst_marketplace,True,2021-07-01,True,True,20,,EUR,10000,True,True,True,True,high,medium,"Late filing penalty of 10% of VAT due if filed within 30 days of reminder, rising to 40% after 30-day period, and 80% for failure to file. Late payment incurs 5% penalty plus 0.2% interest per month.",mature,high,7,https://www.fonoa.com/resources/country-tax-guides/france,France applies the harmonized European Unions (EU) VAT rules for marketplace & platform operators.,high,2026-03-16,"France implements the EU VAT e-commerce package (effective 1 July 2021) which introduced deemed supplier rules for marketplaces. The EUR 10,000 threshold applies to EU-wide intra-community distance sales of goods and B2C ESS; there is no threshold for non-established (non-EU) sellers. France has also separately called via the EU VAT Committee for harmonisation of marketplace obligations where non-EU sellers circumvent Fixed Establishment rules (Article 14a(2) of the VAT Directive). The ViDA package (published March 2025, implementation from April 2025 through 2030s) will extend deemed supplier rules further, including to short-term rentals and passenger transport from 2030. Domestic resident seller VAT registration threshold is EUR 85,000 for goods and EUR 37,500 for services (2025 figures). Registration threshold in USD equivalent is not explicitly stated in source and is therefore returned as null."
